"","person","family","community","county","province","age","gender","urban","vet","edu_yrs","lang","read_books","hours_tv","avg_sleep","smoked","coverage","govt_rating","welfare_housing","self-health","wechat","2020_employment","reason_unemployed","children","married","income_satis","income_rel","status_rel"
"17896",510181103,576189,-9,9976,51,23,0,1,-8,15,1,0,21,7,0,78,3,-8,3,1,-8,-8,0,1,4,2,3
"17897",530199103,576248,358120,16,53,18,1,1,-8,12,1,1,8,8,1,5,2,-8,1,1,-8,-8,1,1,-8,79,1
"17898",510347104,510347,250024,175,11,36,0,1,-8,9,5,1,0,8,0,5,3,-8,3,1,-8,-8,4,2,4,3,3
"17899",510365105,5763382,-9,2296,51,19,1,-9,-8,9,1,0,2,8,1,5,2,-8,2,1,-8,-8,3,-8,5,3,3
"17900",510612104,510612,-9,2293,51,21,1,0,-8,15,5,0,4,7,0,6,2,-8,3,1,-8,-8,0,1,-8,79,3
"17901",520148104,577040,-9,1995,44,24,1,0,-8,15,5,0,0,8,0,5,2,-8,2,1,-8,-8,1,1,4,3,2
"17902",520158104,520158,-9,127,44,17,1,0,-8,9,1,0,2,8,1,78,2,-8,1,1,-8,-8,0,-8,5,1,1
"17903",520472103,577288,725346,24,52,32,0,1,-8,-9,1,0,21,10.5,0,5,2,-8,1,1,99700,-8,1,-8,3,3,3
"17904",211110103,523368,-9,225,13,23,0,1,-8,15,1,0,6,9,0,2,2,-8,3,1,-8,-8,0,1,2,1,1
"17905",210819103,577441,796592,621,21,25,1,1,-8,15,1,0,10,8,0,78,3,-8,1,1,-8,-8,0,1,4,3,3
"17906",210908103,577520,772778,1830,42,25,1,1,-8,12,1,0,0,8,1,78,3,-8,3,1,-8,-8,1,1,4,4,4
"17907",210925104,577536,-9,687,21,25,0,0,-8,9,1,0,70,8,0,5,-1,-8,4,1,-8,-8,1,1,2,1,1
"17908",620155103,577668,222800,139,62,27,0,0,-8,16,1,1,10.5,8,0,2,2,-8,3,1,-8,-8,0,1,4,3,3
"17909",530232103,530232,-9,1061,33,20,1,0,-8,12,1,1,2,7,0,5,2,-8,2,1,-8,-8,1,1,4,3,4
"17910",530234104,530234,-9,2621,53,19,1,0,-8,9,1,0,30,7,1,5,2,-8,3,1,-8,-8,0,1,4,2,2
"17911",211159101,577696,-9,1247,35,26,0,1,-8,-9,1,0,2,7,0,78,2,-8,3,1,80000,2,2,1,-8,2,2
